host_numcpu: 12
host_gomaxprocs: 12
host_goversion: go1.26.4
host_totalmem: 16.00 GB
host_timestamp: 2026-06-23T06:12:00Z
PASS
ok  	github.com/jokruger/kavun-benchmark/bench	0.466s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/goja
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkRisor/sum_pow-12     	     662	   1806986 ns/op	  790547 B/op	   29758 allocs/op
BenchmarkRisor/sum_pow-12     	     661	   1805505 ns/op	  790546 B/op	   29758 allocs/op
BenchmarkRisor/sum_pow-12     	     661	   1811004 ns/op	  790547 B/op	   29758 allocs/op
BenchmarkRisor/closure_counter-12         	    4372	    269390 ns/op	  339753 B/op	    1542 allocs/op
BenchmarkRisor/closure_counter-12         	    4453	    268980 ns/op	  339753 B/op	    1542 allocs/op
BenchmarkRisor/closure_counter-12         	    4417	    268630 ns/op	  339752 B/op	    1542 allocs/op
BenchmarkRisor/closure_counter-12         	    4375	    267478 ns/op	  339753 B/op	    1542 allocs/op
BenchmarkRisor/closure_counter-12         	    4452	    268046 ns/op	  339753 B/op	    1542 allocs/op
BenchmarkRisor/string_concat-12           	   14476	     84465 ns/op	  341355 B/op	     438 allocs/op
BenchmarkRisor/string_concat-12           	   14163	     83927 ns/op	  341355 B/op	     438 allocs/op
BenchmarkRisor/string_concat-12           	   14564	     82760 ns/op	  341355 B/op	     438 allocs/op
BenchmarkRisor/string_concat-12           	   14533	     88533 ns/op	  341355 B/op	     438 allocs/op
BenchmarkRisor/string_concat-12           	   12676	     83730 ns/op	  341355 B/op	     438 allocs/op
BenchmarkRisor/string_repeat-12           	   22915	     49230 ns/op	  315240 B/op	      42 allocs/op
BenchmarkRisor/string_repeat-12           	   23642	     50237 ns/op	  315240 B/op	      42 allocs/op
BenchmarkRisor/string_repeat-12           	   23373	     49877 ns/op	  315240 B/op	      42 allocs/op
BenchmarkRisor/string_repeat-12           	   23550	     55794 ns/op	  315240 B/op	      42 allocs/op
BenchmarkRisor/string_repeat-12           	   20151	     60152 ns/op	  315240 B/op	      42 allocs/op
BenchmarkRisor/str_contains-12            	    1909	    578023 ns/op	  364338 B/op	    2035 allocs/op
BenchmarkRisor/str_contains-12            	    2007	    574523 ns/op	  364338 B/op	    2035 allocs/op
BenchmarkRisor/str_contains-12            	    2052	    575533 ns/op	  364338 B/op	    2035 allocs/op
BenchmarkRisor/str_contains-12            	    2043	    574891 ns/op	  364338 B/op	    2035 allocs/op
BenchmarkRisor/str_contains-12            	    2012	    574508 ns/op	  364338 B/op	    2035 allocs/op
BenchmarkRisor/array_dot-12               	    5540	    214910 ns/op	  361297 B/op	    1890 allocs/op
BenchmarkRisor/array_dot-12               	    5497	    213450 ns/op	  361297 B/op	    1890 allocs/op
BenchmarkRisor/array_dot-12               	    5464	    216955 ns/op	  361297 B/op	    1890 allocs/op
BenchmarkRisor/array_dot-12               	    5527	    213325 ns/op	  361297 B/op	    1890 allocs/op
BenchmarkRisor/array_dot-12               	    5437	    213212 ns/op	  361297 B/op	    1890 allocs/op
PASS
ok  	github.com/jokruger/kavun-benchmark/bench/risor	66.615s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/starlark
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkStarlark/fib-12         	      20	  53257804 ns/op	19426089 B/op	  242828 allocs/op
BenchmarkStarlark/fib-12         	      22	  52671449 ns/op	19425810 B/op	  242828 allocs/op
BenchmarkStarlark/fib-12         	      22	  52962531 ns/op	19425795 B/op	  242828 allocs/op
BenchmarkStarlark/fib-12         	      20	  52588513 ns/op	19425816 B/op	  242828 allocs/op
BenchmarkStarlark/fib-12         	      21	  52658828 ns/op	19425829 B/op	  242828 allocs/op
BenchmarkStarlark/fib_tail-12    	  146854	      7943 ns/op	    5224 B/op	      58 allocs/op
BenchmarkStarlark/fib_tail-12    	  148309	      7939 ns/op	    5224 B/op	      58 allocs/op
BenchmarkStarlark/fib_tail-12    	  148203	      7895 ns/op	    5224 B/op	      58 allocs/op
BenchmarkStarlark/fib_tail-12    	  148604	      8045 ns/op	    5224 B/op	      58 allocs/op
BenchmarkStarlark/fib_tail-12    	  148011	      7958 ns/op	    5224 B/op	      58 allocs/op
BenchmarkStarlark/loop_sum-12    	    1910	    626625 ns/op	    1016 B/op	      19 allocs/op
BenchmarkStarlark/loop_sum-12    	    1903	    627369 ns/op	    1016 B/op	      19 allocs/op
BenchmarkStarlark/loop_sum-12    	    1915	    630156 ns/op	    1016 B/op	      19 allocs/op
BenchmarkStarlark/loop_sum-12    	    1898	    631444 ns/op	    1016 B/op	      19 allocs/op
BenchmarkStarlark/loop_sum-12    	    1860	    618499 ns/op	    1016 B/op	      19 allocs/op
BenchmarkStarlark/sum_pow-12     	     535	   2205032 ns/op	 1042726 B/op	   40711 allocs/op
BenchmarkStarlark/sum_pow-12     	     542	   2199745 ns/op	 1042727 B/op	   40711 allocs/op
BenchmarkStarlark/sum_pow-12     	     537	   2199772 ns/op	 1042726 B/op	   40711 allocs/op
BenchmarkStarlark/sum_pow-12     	     541	   2206506 ns/op	 1042726 B/op	   40711 allocs/op
BenchmarkStarlark/sum_pow-12     	     537	   2203069 ns/op	 1042726 B/op	   40711 allocs/op
BenchmarkStarlark/closure_counter-12         	    4736	    252566 ns/op	   65320 B/op	    1028 allocs/op
BenchmarkStarlark/closure_counter-12         	    4556	    252918 ns/op	   65320 B/op	    1028 allocs/op
BenchmarkStarlark/closure_counter-12         	    4666	    250034 ns/op	   65320 B/op	    1028 allocs/op
BenchmarkStarlark/closure_counter-12         	    4828	    251517 ns/op	   65320 B/op	    1028 allocs/op
BenchmarkStarlark/closure_counter-12         	    4485	    251316 ns/op	   65320 B/op	    1028 allocs/op
BenchmarkStarlark/string_concat-12           	   41329	     28865 ns/op	   25720 B/op	     420 allocs/op
BenchmarkStarlark/string_concat-12           	   41449	     28865 ns/op	   25720 B/op	     420 allocs/op
